checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
20260720	20260721	20260724	buy	0.836275	0.699200	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260720	20260721	20260724	cat	0.835146	0.702900	0.697700	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260720	20260721	20260724	click	0.803396	0.699100	0.696500	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260720	20260721	20260724	ext	0.865237	0.812800	0.811300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608260046
20260724	20260725	20260725	buy	0.835700	0.702100	0.696000	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260238
20260724	20260725	20260725	cat	0.835217	0.706700	0.700200	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260238
20260724	20260725	20260725	click	0.806975	0.700400	0.697700	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260238
20260724	20260725	20260725	ext	0.860441	0.808500	0.807900	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608260238
20260725	20260726	20260726	buy	0.836728	0.714900	0.708500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260316
20260725	20260726	20260726	cat	0.836040	0.717800	0.711400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260316
20260725	20260726	20260726	click	0.806016	0.708300	0.705400	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260316
20260725	20260726	20260726	ext	0.856164	0.797600	0.794100	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608260316
20260726	20260727	20260727	buy	0.840552	0.705500	0.697800	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260355
20260726	20260727	20260727	cat	0.839296	0.708100	0.700700	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260355
20260726	20260727	20260727	click	0.804633	0.698900	0.696300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260355
20260726	20260727	20260727	ext	0.862616	0.816800	0.814700	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608260355
20260727	20260728	20260728	buy	0.841257	0.703000	0.696400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260423
20260727	20260728	20260728	cat	0.839948	0.706300	0.699100	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260423
20260727	20260728	20260728	click	0.804796	0.699700	0.696400	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260423
20260727	20260728	20260728	ext	0.866152	0.822800	0.819200	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608260423
20260728	20260729	20260729	buy	0.840448	0.704700	0.698900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260449
20260728	20260729	20260729	cat	0.839331	0.708300	0.702800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260449
20260728	20260729	20260729	click	0.806641	0.705500	0.702000	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260449
20260728	20260729	20260729	ext	0.858843	0.810300	0.806700	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608260449
20260729	20260730	20260730	buy	0.839486	0.703900	0.697600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260517
20260729	20260730	20260730	cat	0.838460	0.707400	0.700700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260517
20260729	20260730	20260730	click	0.805737	0.703400	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260517
20260729	20260730	20260730	ext	0.863086	0.808500	0.808000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608260517
20260730	20260731	20260731	buy	0.839745	0.707600	0.701900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260545
20260730	20260731	20260731	cat	0.838642	0.710900	0.705000	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260545
20260730	20260731	20260731	click	0.807448	0.706600	0.703800	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260545
20260730	20260731	20260731	ext	0.859404	0.812700	0.812700	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608260545
20260731	20260801	20260801	buy	0.835419	0.703700	0.696300	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260622
20260731	20260801	20260801	cat	0.834755	0.706900	0.699700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260622
20260731	20260801	20260801	click	0.806312	0.703200	0.698800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260622
20260731	20260801	20260801	ext	0.858313	0.816400	0.814000	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608260622
