experiment	task	rolling_days	mean_auc	mean_delta_permille	wins	ties	losses	min_delta_permille	max_delta_permille
BR_train_prod_ema_daily_shared_representation_sync	buy	8	0.837875	-0.866625	0	0	8	-1.727000	-0.490000
BR_train_prod_ema_daily_shared_representation_sync	cat	8	0.836921	-0.871750	0	0	8	-1.751000	-0.472000
BR_train_prod_ema_daily_shared_representation_sync	click	8	0.805317	-0.823375	0	0	8	-1.613000	-0.482000
BR_train_prod_ema_daily_shared_representation_sync	ext	8	0.859541	-1.064500	1	0	7	-1.528000	0.179000
BR_train_prod_ema_din_dice_activation	buy	8	0.838667	-0.075125	1	0	7	-0.296000	0.233000
BR_train_prod_ema_din_dice_activation	cat	8	0.837711	-0.081375	2	0	6	-0.274000	0.163000
BR_train_prod_ema_din_dice_activation	click	8	0.806070	-0.070625	1	0	7	-0.189000	0.049000
BR_train_prod_ema_din_dice_activation	ext	8	0.860627	0.022375	5	0	3	-0.543000	0.573000
BR_train_prod_ema_lr_schedule_warmup	buy	8	0.838671	-0.071250	1	0	7	-0.184000	0.048000
BR_train_prod_ema_lr_schedule_warmup	cat	8	0.837721	-0.071625	1	0	7	-0.232000	0.066000
BR_train_prod_ema_lr_schedule_warmup	click	8	0.806081	-0.059625	1	0	7	-0.177000	0.022000
BR_train_prod_ema_lr_schedule_warmup	ext	8	0.860502	-0.103375	3	0	5	-0.598000	0.503000
