slot_id	e_cpy	e_jz	gap	cpy_occurrences	jz_occurrences	cpy_unique_fids	jz_unique_fids
1	1.6516313952	1.6938586437	-0.0422272485	500	500	18	22
2	3.6473647249	3.6462091496	0.0011555753	500	500	17	18
3	4.3016003491	4.3179581164	-0.0163577673	500	500	33	34
4	4.2151866232	4.2403873619	-0.0252007387	500	500	19	20
5	2.6848017435	2.7430698865	-0.0582681431	500	500	41	44
6	3.0585525847	3.1238581838	-0.0653055991	500	500	19	18
7	3.9278048094	3.8520588587	0.0757459507	500	500	24	24
8	4.1756520729	4.1802452098	-0.0045931369	500	500	20	20
9	4.3039268494	4.3379630541	-0.0340362047	500	500	28	31
10	4.3373858238	4.3592617924	-0.0218759686	500	500	21	21
11	2.2655292779	2.2113972806	0.0541319973	500	500	29	26
12	2.2739903671	2.3355280975	-0.0615377304	500	500	16	17
13	0.4501973135	0.4366845328	0.0135127807	500	500	10	10
14	0.8368162866	0.9655048832	-0.1286885966	500	500	11	12
15	5.4328144931	5.5110174252	-0.0782029321	500	500	60	67
16	4.2617092780	4.2428676812	0.0188415968	500	500	20	20
17	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
18	4.2617092780	4.2428676812	0.0188415968	500	500	20	20
19	5.7266742003	5.5768339216	0.1498402787	500	500	88	87
20	4.1395487784	4.0960363851	0.0435123933	500	500	21	21
21	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
22	4.1395487784	4.0960363851	0.0435123933	500	500	21	21
23	4.0310902995	4.0292803660	0.0018099335	500	500	22	22
24	3.7003451068	3.6703523045	0.0299928023	500	500	15	14
25	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
27	5.0929331103	5.1055994625	-0.0126663522	500	500	47	54
28	4.2417854543	4.2489987559	-0.0072133015	500	500	20	20
29	5.6520527706	5.5883788448	0.0636739259	500	500	83	79
30	4.3438566401	4.3477349830	-0.0038783430	500	500	21	21
31	4.3260923008	4.3385807927	-0.0124884919	500	500	30	31
32	4.3076918275	4.3065473421	0.0011444854	500	500	21	21
33	6.3644485030	6.2725611515	0.0918873515	500	500	96	94
34	4.3459571554	4.3154122554	0.0305449000	500	500	21	21
35	5.1885748362	4.9761841772	0.2123906590	500	500	85	80
36	3.8488131115	3.7472564119	0.1015566996	500	500	21	21
37	2.7975393313	2.7168307360	0.0807085953	500	500	12	12
38	0.5293608653	0.6048125901	-0.0754517248	500	500	2	2
39	3.1401789044	2.9135884704	0.2265904340	500	500	13	13
40	1.1081539332	1.4266732710	-0.3185193379	500	500	5	5
41	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
42	0.7452883146	0.7916985001	-0.0464101856	500	500	2	2
43	0.1525273285	0.1525273285	0.0000000000	500	500	2	2
44	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
45	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
46	0.1525273285	0.1525273285	0.0000000000	500	500	2	2
48	5.6324528870	5.6072858819	0.0251670051	1939	1885	114	110
49	1.0326785026	0.9394166832	0.0932618195	500	500	3	3
50	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
51	2.6578516439	2.6274862976	0.0303653463	500	500	13	11
52	4.2622047973	4.2531123493	0.0090924480	500	500	20	20
53	4.4058980325	4.3588508454	0.0470471871	500	500	22	22
54	7.6696326221	7.6720526491	-0.0024200270	500	500	250	247
55	2.8218072141	2.7934483779	0.0283588362	500	500	13	12
56	3.2290617066	3.1863327146	0.0427289920	500	500	14	14
57	3.1066310487	3.1276499740	-0.0210189253	500	500	16	16
58	5.6684550273	5.7467016648	-0.0782466376	500	500	96	99
59	4.1601464805	4.1550885334	0.0050579472	500	500	21	21
60	4.2213095727	4.1456595919	0.0756499808	500	500	21	21
61	3.4638496757	3.0712606669	0.3925890088	500	500	20	20
62	4.2143176108	4.1959848763	0.0183327345	500	500	20	20
63	4.2627610895	4.2470761983	0.0156848912	500	500	20	21
64	4.3468995262	4.3260462843	0.0208532419	500	500	21	21
65	0.9647995485	0.9375897508	0.0272097977	500	500	2	2
66	0.4689955936	0.5407504780	-0.0717548844	500	500	2	2
67	8.3384478801	8.2963938954	0.0420539847	500	500	412	419
68	8.9537842847	8.9657842847	-0.0120000000	500	500	497	500
72	7.6326779850	7.7424941084	-0.1098161235	500	500	340	360
73	7.2702403380	7.4240254802	-0.1537851422	500	500	318	344
74	6.8341956474	7.1305072968	-0.2963116494	500	500	289	324
75	8.8591383723	8.7116245580	0.1475138143	1622	1615	854	815
76	8.9497842847	8.9657842847	-0.0160000000	500	500	496	500
77	3.3899516398	3.3182647173	0.0716869225	528	526	22	25
78	3.7684458312	3.7231852361	0.0452605951	889	857	29	31
79	3.7684458312	3.7231852361	0.0452605951	889	857	29	31
80	0.1739171169	0.1525273285	0.0213897884	500	500	2	2
81	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
82	0.9647995485	0.9375897508	0.0272097977	500	500	2	2
83	4.1362728101	4.1266578515	0.0096149587	500	500	18	18
84	1.6841331237	1.5961894002	0.0879437235	500	500	10	10
85	4.0238412235	4.1950022353	-0.1711610118	500	500	42	44
86	4.2400904167	4.2121760681	0.0279143486	500	500	20	20
87	3.3227384189	3.3325764307	-0.0098380117	500	500	12	12
88	2.1377299623	2.1090290035	0.0287009588	578	572	12	13
93	8.3356529326	8.3049385540	0.0307143786	500	500	427	432
94	0.1300588462	0.1842605933	-0.0542017472	500	500	2	2
96	2.4535322032	2.4412700418	0.0122621614	500	500	10	10
97	7.8682771514	7.8707285842	-0.0024514327	500	500	397	403
98	0.1300588462	0.1062736931	0.0237851531	500	500	2	2
100	1.8202200793	1.8916320619	-0.0714119827	500	500	10	10
101	7.4216005746	7.5040928233	-0.0824922487	500	500	369	380
102	0.1183500114	0.0672215448	0.0511284666	500	500	2	2
104	1.2758406380	1.3069487704	-0.0311081324	500	500	9	10
156	0.1183500114	0.0529150803	0.0654349311	500	500	2	2
158	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
159	1.0468533040	1.1088095363	-0.0619562323	500	500	4	4
160	3.3079984522	3.2919147263	0.0160837258	500	500	13	14
161	4.2221953559	4.1711508701	0.0510444857	500	500	21	21
162	6.4539983778	6.3192600605	0.1347383174	500	500	154	151
163	0.3950925605	0.4496822131	-0.0545896526	500	500	2	2
164	0.0376223603	0.0000000000	0.0376223603	500	500	2	1
167	2.2188929975	2.2089803749	0.0099126225	500	500	14	12
180	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
181	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
182	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
183	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
184	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
185	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
186	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
187	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
188	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
189	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
190	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
191	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
192	0.0000000000	0.0000000000	0.0000000000	500	500	1	1
194	2.1879055534	2.1670883306	0.0208172229	500	500	11	10
196	1.8745770201	1.8305252309	0.0440517892	500	500	9	9
198	1.5545920567	1.5570184684	-0.0024264117	500	500	7	7
199	0.2690217021	0.3092979189	-0.0402762169	500	500	6	5
200	0.2672660210	0.2950536001	-0.0277875791	500	500	7	5
201	1.5022338443	1.4927467796	0.0094870647	500	500	10	14
202	1.4023900585	1.3695220107	0.0328680479	500	500	4	4
203	0.4164380859	0.4501747788	-0.0337366929	500	500	5	6
204	0.4135804239	0.4469906455	-0.0334102216	500	500	4	6
205	1.6145357500	1.5709101349	0.0436256151	500	500	12	10
206	1.4970055817	1.4474553120	0.0495502697	500	500	6	6
207	0.7468924582	0.8496088693	-0.1027164111	500	500	7	8
208	0.7240818583	0.8139622710	-0.0898804127	500	500	6	6
209	1.6655919117	1.6589825147	0.0066093970	500	500	11	12
210	1.5806117919	1.5913037766	-0.0106919847	500	500	7	7
211	3.0419698625	3.0688261107	-0.0268562482	500	500	11	11
218	3.1105639220	3.0859689127	0.0245950093	471	473	19	18
219	2.8589251980	2.8556517670	0.0032734310	500	500	12	12
220	3.2318430802	3.2084424958	0.0234005843	500	500	61	65
221	2.6242604979	2.5941091076	0.0301513903	500	500	20	21
222	0.8235976600	0.9362953255	-0.1126976655	471	473	9	10
223	1.2632843109	1.3569069592	-0.0936226482	500	500	16	15
224	0.8324154685	0.7118448824	0.1205705861	471	473	5	5
225	0.7910012044	0.6855115625	0.1054896419	500	500	4	5
226	1.2415177211	1.1540642709	0.0874534503	500	500	27	24
227	1.1888210202	1.1102319769	0.0785890432	500	500	20	19
228	2.9455749536	2.9461563188	-0.0005813651	500	500	46	52
229	3.0385148314	2.9035598525	0.1349549789	500	500	48	43
230	5.3112207403	5.5412447777	-0.2300240374	500	500	87	89
231	3.8882408698	3.9982567024	-0.1100158326	500	500	21	21
232	1.6222739412	1.7827253530	-0.1604514119	471	473	14	12
233	3.4048429422	3.6108700969	-0.2060271547	500	500	18	18
234	1.8703351991	1.9271993266	-0.0568641275	471	473	11	9
235	1.7607681012	1.8363495510	-0.0755814498	500	500	7	7
236	2.6537031324	2.8661145028	-0.2124113704	500	500	36	32
237	2.4519069028	2.6827248843	-0.2308179814	500	500	21	21
238	5.6771021217	6.0075328478	-0.3304307260	500	500	135	148
239	4.9979081168	5.2495896570	-0.2516815402	500	500	79	79
240	5.7903924377	5.8886154374	-0.0982229997	500	500	93	95
241	3.8688490845	3.9494947111	-0.0806456266	500	500	21	21
242	4.7546517489	4.8799513021	-0.1252995532	500	500	55	52
243	3.8247576479	3.8879745451	-0.0632168972	500	500	18	18
244	1.6289208183	1.6951038371	-0.0661830187	471	473	11	9
245	1.1065066110	1.1001196439	0.0063869671	500	500	7	6
246	3.4157005352	3.4923317289	-0.0766311937	500	500	39	36
247	3.1372481509	3.2236788703	-0.0864307194	500	500	21	21
248	6.0074589748	6.2585365335	-0.2510775587	500	500	149	159
249	4.4514382585	4.5634583098	-0.1120200513	500	500	42	42
250	6.0620301527	6.0175891406	0.0444410121	500	500	98	96
251	4.2106715658	4.2089441905	0.0017273753	500	500	21	21
252	5.4904613083	5.5254796778	-0.0350183695	500	500	63	63
253	4.1428574726	4.1443661967	-0.0015087240	500	500	19	19
254	2.5119709441	2.5839336543	-0.0719627102	471	473	17	16
255	1.5414984422	1.5203311455	0.0211672966	500	500	14	14
256	4.0725073450	4.1931808593	-0.1206735143	500	500	38	41
257	3.7421598433	3.8472056028	-0.1050457595	500	500	21	21
258	6.5802216999	6.7126589456	-0.1324372457	500	500	150	157
